date,store_id,sku_id,units_sold,true_demand_units,stockout_censored_units,revenue,margin_proxy,promo_flag,holiday_flag,day_of_week
2025-07-04,ST001,SKU0082,4,4,0,335.48,130.08,0,0,4
2025-07-04,ST001,SKU0083,1,1,0,225.32,71.13,0,0,4
2025-07-04,ST001,SKU0084,3,3,0,1041.99,300.09,0,0,4
2025-07-04,ST001,SKU0085,4,4,0,514.12,109.08,0,0,4
2025-07-04,ST001,SKU0086,4,4,0,1043.44,270.16,0,0,4
2025-07-04,ST001,SKU0087,6,6,0,2666.1,982.62,0,0,4
2025-07-04,ST001,SKU0088,13,13,0,2568.54,518.18,0,0,4
2025-07-04,ST001,SKU0089,7,7,0,2651.25,1081.99,0,0,4
2025-07-04,ST001,SKU0090,11,11,0,1037.63,305.69,0,0,4
2025-07-04,ST002,SKU0001,8,8,0,3140.4,982.64,0,0,4
2025-07-04,ST002,SKU0002,5,5,0,1860.65,807.55,0,0,4
2025-07-04,ST002,SKU0003,8,8,0,1764.48,405.12,0,0,4
2025-07-04,ST002,SKU0004,8,8,0,4318.32,1237.76,0,0,4
2025-07-04,ST002,SKU0005,5,5,0,1312.15,434.45,0,0,4
2025-07-04,ST002,SKU0006,10,10,0,4011.4,756.9,0,0,4
2025-07-04,ST002,SKU0007,11,11,0,3841.75,822.14,0,0,4
2025-07-04,ST002,SKU0008,11,11,0,5373.61,1047.09,0,0,4
2025-07-04,ST002,SKU0009,3,3,0,639.69,254.61,0,0,4
2025-07-04,ST002,SKU0010,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST002,SKU0011,5,5,0,1215.75,412.2,0,0,4
2025-07-04,ST002,SKU0012,15,15,0,3621.9,1172.4,0,0,4
2025-07-04,ST002,SKU0013,12,12,0,2927.64,1297.56,0,0,4
2025-07-04,ST002,SKU0014,7,7,0,676.83,127.82,0,0,4
2025-07-04,ST002,SKU0015,2,2,0,535.6,114.8,0,0,4
2025-07-04,ST002,SKU0016,3,3,0,821.88,290.97,0,0,4
2025-07-04,ST002,SKU0017,9,9,0,3240.81,1326.15,0,0,4
2025-07-04,ST002,SKU0018,3,3,0,748.47,173.01,0,0,4
2025-07-04,ST002,SKU0019,3,3,0,1252.95,558.99,0,0,4
2025-07-04,ST002,SKU0020,6,6,0,1375.44,349.38,0,0,4
2025-07-04,ST002,SKU0021,7,7,0,531.23,213.29,0,0,4
2025-07-04,ST002,SKU0022,1,1,0,153.7,55.05,0,0,4
2025-07-04,ST002,SKU0023,4,4,0,1945.6,360.52,0,0,4
2025-07-04,ST002,SKU0024,5,5,0,1120.5,279.5,0,0,4
2025-07-04,ST002,SKU0025,12,12,0,2854.8,967.32,0,0,4
2025-07-04,ST002,SKU0026,2,2,0,977.04,302.62,0,0,4
2025-07-04,ST002,SKU0027,4,4,0,668.04,178.6,0,0,4
2025-07-04,ST002,SKU0028,2,2,0,1090.72,392.86,0,0,4
2025-07-04,ST002,SKU0029,4,4,0,628.0,246.48,0,0,4
2025-07-04,ST002,SKU0030,1,1,0,294.57,94.44,0,0,4
2025-07-04,ST002,SKU0031,4,4,0,691.36,131.64,0,0,4
2025-07-04,ST002,SKU0032,5,5,0,1272.5,509.45,0,0,4
2025-07-04,ST002,SKU0033,8,8,0,1809.6,416.0,0,0,4
2025-07-04,ST002,SKU0034,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST002,SKU0035,4,4,0,740.2,323.76,0,0,4
2025-07-04,ST002,SKU0036,12,12,0,2972.4,1138.08,0,0,4
2025-07-04,ST002,SKU0037,2,2,0,358.94,104.3,0,0,4
2025-07-04,ST002,SKU0038,15,15,0,3397.05,1243.8,0,0,4
2025-07-04,ST002,SKU0039,3,3,0,1218.51,331.83,0,0,4
2025-07-04,ST002,SKU0040,2,2,0,786.1,345.32,0,0,4
2025-07-04,ST002,SKU0041,4,4,0,2214.4,966.16,0,0,4
2025-07-04,ST002,SKU0042,5,5,0,700.05,196.6,0,0,4
2025-07-04,ST002,SKU0043,1,1,0,76.67,18.0,0,0,4
2025-07-04,ST002,SKU0044,12,12,0,2999.16,1189.92,0,0,4
2025-07-04,ST002,SKU0045,4,4,0,573.56,243.2,0,0,4
2025-07-04,ST002,SKU0046,5,5,0,1530.0,356.55,0,0,4
2025-07-04,ST002,SKU0047,15,15,0,2253.9,470.85,0,0,4
2025-07-04,ST002,SKU0048,5,5,0,1474.85,578.2,0,0,4
2025-07-04,ST002,SKU0049,10,10,0,2329.4,889.3,0,0,4
2025-07-04,ST002,SKU0050,17,17,0,6260.25,2173.79,0,0,4
2025-07-04,ST002,SKU0051,20,20,0,9235.0,3216.0,0,0,4
2025-07-04,ST002,SKU0052,5,5,0,414.3,158.75,0,0,4
2025-07-04,ST002,SKU0053,6,6,0,3057.06,754.38,0,0,4
2025-07-04,ST002,SKU0054,13,13,0,5924.1,1445.08,0,0,4
2025-07-04,ST002,SKU0055,6,6,0,1499.46,641.88,0,0,4
2025-07-04,ST002,SKU0056,1,1,0,137.89,31.05,0,0,4
2025-07-04,ST002,SKU0057,3,3,0,364.86,77.1,0,0,4
2025-07-04,ST002,SKU0058,6,6,0,3785.16,960.0,0,0,4
2025-07-04,ST002,SKU0059,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST002,SKU0060,2,2,0,512.3,204.14,0,0,4
2025-07-04,ST002,SKU0061,19,19,0,8936.46,1858.01,0,0,4
2025-07-04,ST002,SKU0062,11,11,0,1983.3,547.36,0,0,4
2025-07-04,ST002,SKU0063,2,2,0,831.74,184.96,0,0,4
2025-07-04,ST002,SKU0064,1,1,0,275.48,110.25,0,0,4
2025-07-04,ST002,SKU0065,1,1,0,562.0,185.41,0,0,4
2025-07-04,ST002,SKU0066,7,7,0,1207.92,268.17,0,0,4
2025-07-04,ST002,SKU0067,3,3,0,606.81,154.83,0,0,4
2025-07-04,ST002,SKU0068,3,3,0,591.54,204.3,0,0,4
2025-07-04,ST002,SKU0069,4,4,0,407.52,167.12,0,0,4
2025-07-04,ST002,SKU0070,6,6,0,960.96,400.44,0,0,4
2025-07-04,ST002,SKU0071,18,18,0,3706.74,1092.6,0,0,4
2025-07-04,ST002,SKU0072,6,6,0,850.02,172.62,0,0,4
2025-07-04,ST002,SKU0073,2,2,0,437.72,141.02,0,0,4
2025-07-04,ST002,SKU0074,24,24,0,3194.64,816.72,0,0,4
2025-07-04,ST002,SKU0075,5,5,0,2829.45,594.35,0,0,4
2025-07-04,ST002,SKU0076,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST002,SKU0077,12,12,0,3004.44,1252.08,0,0,4
2025-07-04,ST002,SKU0078,3,3,0,458.58,183.63,0,0,4
2025-07-04,ST002,SKU0079,1,1,0,275.32,102.86,0,0,4
2025-07-04,ST002,SKU0080,6,6,0,1644.84,564.48,0,0,4
2025-07-04,ST002,SKU0081,2,2,0,677.72,280.04,0,0,4
2025-07-04,ST002,SKU0082,4,4,0,335.48,130.08,0,0,4
2025-07-04,ST002,SKU0083,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST002,SKU0084,2,2,0,694.66,200.06,0,0,4
2025-07-04,ST002,SKU0085,16,16,0,2056.48,436.32,0,0,4
2025-07-04,ST002,SKU0086,1,1,0,260.86,67.54,0,0,4
2025-07-04,ST002,SKU0087,5,5,0,2221.75,818.85,0,0,4
2025-07-04,ST002,SKU0088,10,10,0,1975.8,398.6,0,0,4
2025-07-04,ST002,SKU0089,8,8,0,3030.0,1236.56,0,0,4
2025-07-04,ST002,SKU0090,8,8,0,754.64,222.32,0,0,4
2025-07-04,ST003,SKU0001,9,9,0,3532.95,1105.47,0,0,4
2025-07-04,ST003,SKU0002,2,2,0,744.26,323.02,0,0,4
2025-07-04,ST003,SKU0003,9,9,0,1985.04,455.76,0,0,4
2025-07-04,ST003,SKU0004,17,17,0,9176.43,2630.24,0,0,4
2025-07-04,ST003,SKU0005,11,11,0,2886.73,955.79,0,0,4
2025-07-04,ST003,SKU0006,15,15,0,6017.1,1135.35,0,0,4
2025-07-04,ST003,SKU0007,7,7,0,2444.75,523.18,0,0,4
2025-07-04,ST003,SKU0008,18,18,0,8793.18,1713.42,0,0,4
2025-07-04,ST003,SKU0009,2,2,0,426.46,169.74,0,0,4
2025-07-04,ST003,SKU0010,7,7,0,2079.42,439.39,0,0,4
2025-07-04,ST003,SKU0011,21,21,0,5106.15,1731.24,0,0,4
2025-07-04,ST003,SKU0012,13,13,0,3138.98,1016.08,0,0,4
2025-07-04,ST003,SKU0013,13,13,0,3171.61,1405.69,0,0,4
2025-07-04,ST003,SKU0014,6,6,0,580.14,109.56,0,0,4
2025-07-04,ST003,SKU0015,29,29,0,7766.2,1664.6,0,0,4
2025-07-04,ST003,SKU0016,19,19,0,5205.24,1842.81,0,0,4
2025-07-04,ST003,SKU0017,14,14,0,5041.26,2062.9,0,0,4
2025-07-04,ST003,SKU0018,4,4,0,997.96,230.68,0,0,4
2025-07-04,ST003,SKU0019,21,21,0,8770.65,3912.93,0,0,4
2025-07-04,ST003,SKU0020,16,16,0,3667.84,931.68,0,0,4
2025-07-04,ST003,SKU0021,18,18,0,1366.02,548.46,0,0,4
2025-07-04,ST003,SKU0022,15,15,0,2305.5,825.75,0,0,4
2025-07-04,ST003,SKU0023,12,12,0,5836.8,1081.56,0,0,4
2025-07-04,ST003,SKU0024,17,17,0,3809.7,950.3,0,0,4
2025-07-04,ST003,SKU0025,5,5,0,1189.5,403.05,0,0,4
2025-07-04,ST003,SKU0026,16,16,0,7816.32,2420.96,0,0,4
2025-07-04,ST003,SKU0027,6,6,0,1002.06,267.9,0,0,4
2025-07-04,ST003,SKU0028,4,4,0,2181.44,785.72,0,0,4
2025-07-04,ST003,SKU0029,11,11,0,1727.0,677.82,0,0,4
2025-07-04,ST003,SKU0030,3,3,0,883.71,283.32,0,0,4
2025-07-04,ST003,SKU0031,8,8,0,1382.72,263.28,0,0,4
2025-07-04,ST003,SKU0032,14,14,0,3563.0,1426.46,0,0,4
2025-07-04,ST003,SKU0033,27,27,0,6107.4,1404.0,0,0,4
2025-07-04,ST003,SKU0034,4,4,0,740.56,172.88,0,0,4
2025-07-04,ST003,SKU0035,5,5,0,925.25,404.7,0,0,4
2025-07-04,ST003,SKU0036,33,33,0,8174.1,3129.72,0,0,4
2025-07-04,ST003,SKU0037,38,38,0,6819.86,1981.7,0,0,4
2025-07-04,ST003,SKU0038,20,20,0,4529.4,1658.4,0,0,4
2025-07-04,ST003,SKU0039,3,3,0,1218.51,331.83,0,0,4
2025-07-04,ST003,SKU0040,4,4,0,1572.2,690.64,0,0,4
2025-07-04,ST003,SKU0041,4,4,0,2214.4,966.16,0,0,4
2025-07-04,ST003,SKU0042,3,3,0,420.03,117.96,0,0,4
2025-07-04,ST003,SKU0043,4,4,0,306.68,72.0,0,0,4
2025-07-04,ST003,SKU0044,20,20,0,4998.6,1983.2,0,0,4
2025-07-04,ST003,SKU0045,8,8,0,1147.12,486.4,0,0,4
2025-07-04,ST003,SKU0046,15,15,0,4590.0,1069.65,0,0,4
2025-07-04,ST003,SKU0047,7,7,0,1051.82,219.73,0,0,4
2025-07-04,ST003,SKU0048,20,20,0,5899.4,2312.8,0,0,4
2025-07-04,ST003,SKU0049,4,4,0,931.76,355.72,0,0,4
2025-07-04,ST003,SKU0050,30,30,0,11047.5,3836.1,0,0,4
2025-07-04,ST003,SKU0051,8,8,0,3694.0,1286.4,0,0,4
2025-07-04,ST003,SKU0052,11,11,0,911.46,349.25,0,0,4
2025-07-04,ST003,SKU0053,16,16,0,8152.16,2011.68,0,0,4
2025-07-04,ST003,SKU0054,17,17,0,7746.9,1889.72,0,0,4
2025-07-04,ST003,SKU0055,34,34,0,8496.94,3637.32,0,0,4
2025-07-04,ST003,SKU0056,6,6,0,827.34,186.3,0,0,4
2025-07-04,ST003,SKU0057,13,13,0,1581.06,334.1,0,0,4
2025-07-04,ST003,SKU0058,7,7,0,4416.02,1120.0,0,0,4
2025-07-04,ST003,SKU0059,2,2,0,602.7,210.88,0,0,4
2025-07-04,ST003,SKU0060,11,11,0,2817.65,1122.77,0,0,4
2025-07-04,ST003,SKU0061,41,41,0,19283.94,4009.39,0,0,4
2025-07-04,ST003,SKU0062,11,11,0,1983.3,547.36,0,0,4
2025-07-04,ST003,SKU0063,4,4,0,1663.48,369.92,0,0,4
2025-07-04,ST003,SKU0064,5,5,0,1377.4,551.25,0,0,4
2025-07-04,ST003,SKU0065,4,4,0,2248.0,741.64,0,0,4
2025-07-04,ST003,SKU0066,4,4,0,690.24,153.24,0,0,4
2025-07-04,ST003,SKU0067,6,6,0,1213.62,309.66,0,0,4
2025-07-04,ST003,SKU0068,7,7,0,1380.26,476.7,0,0,4
2025-07-04,ST003,SKU0069,13,13,0,1324.44,543.14,0,0,4
2025-07-04,ST003,SKU0070,13,13,0,2082.08,867.62,0,0,4
2025-07-04,ST003,SKU0071,28,28,0,5766.04,1699.6,0,0,4
2025-07-04,ST003,SKU0072,13,13,0,1841.71,374.01,0,0,4
2025-07-04,ST003,SKU0073,26,26,0,5690.36,1833.26,0,0,4
2025-07-04,ST003,SKU0074,32,32,0,4259.52,1088.96,0,0,4
2025-07-04,ST003,SKU0075,4,4,0,2263.56,475.48,0,0,4
2025-07-04,ST003,SKU0076,1,1,0,219.6,85.35,0,0,4
2025-07-04,ST003,SKU0077,35,35,0,8762.95,3651.9,0,0,4
2025-07-04,ST003,SKU0078,16,16,0,2445.76,979.36,0,0,4
2025-07-04,ST003,SKU0079,2,2,0,550.64,205.72,0,0,4
2025-07-04,ST003,SKU0080,24,4,0,1096.56,376.32,0,0,4
2025-07-04,ST003,SKU0081,3,3,0,1016.58,420.06,0,0,4
2025-07-04,ST003,SKU0082,42,42,0,3522.54,1365.84,0,0,4
2025-07-04,ST003,SKU0083,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST003,SKU0084,1,1,0,347.33,100.03,0,0,4
2025-07-04,ST003,SKU0085,23,23,0,2956.19,627.21,0,0,4
2025-07-04,ST003,SKU0086,4,4,0,1043.44,270.16,0,0,4
2025-07-04,ST003,SKU0087,9,9,0,3999.15,1473.93,0,0,4
2025-07-04,ST003,SKU0088,5,5,0,987.9,199.3,0,0,4
2025-07-04,ST003,SKU0089,11,11,0,4166.25,1700.27,0,0,4
2025-07-04,ST003,SKU0090,6,6,0,565.98,166.74,0,0,4
2025-07-04,ST004,SKU0001,3,3,0,1177.65,368.49,0,0,4
2025-07-04,ST004,SKU0002,4,4,0,1488.52,646.04,0,0,4
2025-07-04,ST004,SKU0003,6,6,0,1323.36,303.84,0,0,4
2025-07-04,ST004,SKU0004,19,19,0,10256.01,2939.68,0,0,4
2025-07-04,ST004,SKU0005,10,10,0,2624.3,868.9,0,0,4
2025-07-04,ST004,SKU0006,13,13,0,5214.82,983.97,0,0,4
2025-07-04,ST004,SKU0007,9,9,0,3143.25,672.66,0,0,4
2025-07-04,ST004,SKU0008,4,4,0,1954.04,380.76,0,0,4
2025-07-04,ST004,SKU0009,2,2,0,426.46,169.74,0,0,4
2025-07-04,ST004,SKU0010,4,4,0,1188.24,251.08,0,0,4
2025-07-04,ST004,SKU0011,18,18,0,4376.7,1483.92,0,0,4
2025-07-04,ST004,SKU0012,14,14,0,3380.44,1094.24,0,0,4
2025-07-04,ST004,SKU0013,1,1,0,243.97,108.13,0,0,4
2025-07-04,ST004,SKU0014,9,9,0,870.21,164.34,0,0,4
2025-07-04,ST004,SKU0015,2,2,0,535.6,114.8,0,0,4
2025-07-04,ST004,SKU0016,10,10,0,2739.6,969.9,0,0,4
2025-07-04,ST004,SKU0017,10,10,0,3600.9,1473.5,0,0,4
2025-07-04,ST004,SKU0018,2,2,0,498.98,115.34,0,0,4
2025-07-04,ST004,SKU0019,17,17,0,7100.05,3167.61,0,0,4
2025-07-04,ST004,SKU0020,1,1,0,229.24,58.23,0,0,4
2025-07-04,ST004,SKU0021,9,9,0,683.01,274.23,0,0,4
2025-07-04,ST004,SKU0022,5,5,0,768.5,275.25,0,0,4
2025-07-04,ST004,SKU0023,9,9,0,4377.6,811.17,0,0,4
2025-07-04,ST004,SKU0024,5,5,0,1120.5,279.5,0,0,4
2025-07-04,ST004,SKU0025,11,11,0,2616.9,886.71,0,0,4
2025-07-04,ST004,SKU0026,1,1,0,488.52,151.31,0,0,4
2025-07-04,ST004,SKU0027,2,2,0,334.02,89.3,0,0,4
2025-07-04,ST004,SKU0028,3,3,0,1636.08,589.29,0,0,4
2025-07-04,ST004,SKU0029,7,7,0,1099.0,431.34,0,0,4
2025-07-04,ST004,SKU0030,1,1,0,294.57,94.44,0,0,4
2025-07-04,ST004,SKU0031,5,5,0,864.2,164.55,0,0,4
2025-07-04,ST004,SKU0032,3,3,0,763.5,305.67,0,0,4
2025-07-04,ST004,SKU0033,10,10,0,2262.0,520.0,0,0,4
2025-07-04,ST004,SKU0034,1,1,0,185.14,43.22,0,0,4
2025-07-04,ST004,SKU0035,1,1,0,185.05,80.94,0,0,4
2025-07-04,ST004,SKU0036,6,6,0,1486.2,569.04,0,0,4
2025-07-04,ST004,SKU0037,23,23,0,4127.81,1199.45,0,0,4
2025-07-04,ST004,SKU0038,13,13,0,2944.11,1077.96,0,0,4
2025-07-04,ST004,SKU0039,0,0,0,0.0,0.0,0,0,4
2025-07-04,ST004,SKU0040,2,2,0,786.1,345.32,0,0,4
2025-07-04,ST004,SKU0041,1,1,0,553.6,241.54,0,0,4
2025-07-04,ST004,SKU0042,9,9,0,1260.09,353.88,0,0,4
2025-07-04,ST004,SKU0043,4,4,0,306.68,72.0,0,0,4
2025-07-04,ST004,SKU0044,6,6,0,1499.58,594.96,0,0,4
2025-07-04,ST004,SKU0045,7,7,0,1003.73,425.6,0,0,4
2025-07-04,ST004,SKU0046,3,3,0,918.0,213.93,0,0,4
2025-07-04,ST004,SKU0047,22,22,0,3305.72,690.58,0,0,4
2025-07-04,ST004,SKU0048,7,7,0,2064.79,809.48,0,0,4
2025-07-04,ST004,SKU0049,6,6,0,1397.64,533.58,0,0,4
2025-07-04,ST004,SKU0050,7,7,0,2577.75,895.09,0,0,4
2025-07-04,ST004,SKU0051,7,7,0,3232.25,1125.6,0,0,4
2025-07-04,ST004,SKU0052,10,10,0,828.6,317.5,0,0,4
2025-07-04,ST004,SKU0053,5,5,0,2547.55,628.65,0,0,4
2025-07-04,ST004,SKU0054,2,2,0,911.4,222.32,0,0,4
2025-07-04,ST004,SKU0055,32,32,0,7997.12,3423.36,0,0,4
2025-07-04,ST004,SKU0056,2,2,0,275.78,62.1,0,0,4
2025-07-04,ST004,SKU0057,11,11,0,1337.82,282.7,0,0,4
2025-07-04,ST004,SKU0058,7,7,0,4416.02,1120.0,0,0,4
2025-07-04,ST004,SKU0059,4,4,0,1205.4,421.76,0,0,4
2025-07-04,ST004,SKU0060,29,29,0,7428.35,2960.03,0,0,4
2025-07-04,ST004,SKU0061,10,10,0,4703.4,977.9,0,0,4
2025-07-04,ST004,SKU0062,11,11,0,1983.3,547.36,0,0,4
2025-07-04,ST004,SKU0063,5,5,0,2079.35,462.4,0,0,4
2025-07-04,ST004,SKU0064,3,3,0,826.44,330.75,0,0,4
2025-07-04,ST004,SKU0065,4,4,0,2248.0,741.64,0,0,4
2025-07-04,ST004,SKU0066,4,4,0,690.24,153.24,0,0,4
2025-07-04,ST004,SKU0067,9,9,0,1820.43,464.49,0,0,4
2025-07-04,ST004,SKU0068,4,4,0,788.72,272.4,0,0,4
2025-07-04,ST004,SKU0069,23,23,0,2343.24,960.94,0,0,4
2025-07-04,ST004,SKU0070,1,1,0,160.16,66.74,0,0,4
2025-07-04,ST004,SKU0071,10,10,0,2059.3,607.0,0,0,4
2025-07-04,ST004,SKU0072,16,16,0,2266.72,460.32,0,0,4
2025-07-04,ST004,SKU0073,2,2,0,437.72,141.02,0,0,4
2025-07-04,ST004,SKU0074,34,34,0,4525.74,1157.02,0,0,4
2025-07-04,ST004,SKU0075,5,5,0,2829.45,594.35,0,0,4
2025-07-04,ST004,SKU0076,8,8,0,1756.8,682.8,0,0,4
2025-07-04,ST004,SKU0077,8,8,0,2002.96,834.72,0,0,4
2025-07-04,ST004,SKU0078,11,11,0,1681.46,673.31,0,0,4
2025-07-04,ST004,SKU0079,6,6,0,1651.92,617.16,0,0,4
2025-07-04,ST004,SKU0080,7,7,0,1918.98,658.56,0,0,4
2025-07-04,ST004,SKU0081,2,2,0,677.72,280.04,0,0,4
2025-07-04,ST004,SKU0082,7,7,0,587.09,227.64,0,0,4
2025-07-04,ST004,SKU0083,1,1,0,225.32,71.13,0,0,4
2025-07-04,ST004,SKU0084,3,3,0,1041.99,300.09,0,0,4
2025-07-04,ST004,SKU0085,9,9,0,1156.77,245.43,0,0,4
2025-07-04,ST004,SKU0086,6,6,0,1565.16,405.24,0,0,4
2025-07-04,ST004,SKU0087,5,5,0,2221.75,818.85,0,0,4
2025-07-04,ST004,SKU0088,8,8,0,1580.64,318.88,0,0,4
2025-07-04,ST004,SKU0089,7,7,0,2651.25,1081.99,0,0,4
2025-07-04,ST004,SKU0090,9,9,0,848.97,250.11,0,0,4
2025-07-04,ST005,SKU0001,1,1,0,392.55,122.83,0,0,4
2025-07-04,ST005,SKU0002,7,7,0,2604.91,1130.57,0,0,4
2025-07-04,ST005,SKU0003,5,5,0,1102.8,253.2,0,0,4
2025-07-04,ST005,SKU0004,5,5,0,2698.95,773.6,0,0,4
2025-07-04,ST005,SKU0005,4,4,0,1049.72,347.56,0,0,4
2025-07-04,ST005,SKU0006,1,1,0,401.14,75.69,0,0,4
