date,day_of_week,is_weekend,promo_flag,holiday_flag
14-11-2025,4,0,0,0
15-11-2025,5,1,1,0
16-11-2025,6,1,1,0
17-11-2025,0,0,0,0
18-11-2025,1,0,0,0
19-11-2025,2,0,0,0
20-11-2025,3,0,0,0
21-11-2025,4,0,0,0
22-11-2025,5,1,1,0
23-11-2025,6,1,1,1
24-11-2025,0,0,0,0
25-11-2025,1,0,0,0
26-11-2025,2,0,0,0
27-11-2025,3,0,0,0
28-11-2025,4,0,0,0
29-11-2025,5,1,1,0
30-11-2025,6,1,1,0
01-12-2025,0,0,0,0
02-12-2025,1,0,0,0
03-12-2025,2,0,0,0
04-12-2025,3,0,0,0
05-12-2025,4,0,0,0
06-12-2025,5,1,1,0
07-12-2025,6,1,1,0
08-12-2025,0,0,0,0
09-12-2025,1,0,0,0
10-12-2025,2,0,0,0
11-12-2025,3,0,0,0
12-12-2025,4,0,0,0
13-12-2025,5,1,1,0
14-12-2025,6,1,1,0
15-12-2025,0,0,0,0
16-12-2025,1,0,0,0
17-12-2025,2,0,0,0
18-12-2025,3,0,0,0
19-12-2025,4,0,0,0
20-12-2025,5,1,0,0
21-12-2025,6,1,0,0
22-12-2025,0,0,0,0
23-12-2025,1,0,0,0
24-12-2025,2,0,0,0
25-12-2025,3,0,0,1
26-12-2025,4,0,1,0
27-12-2025,5,1,1,0
28-12-2025,6,1,1,1
29-12-2025,0,0,1,0
30-12-2025,1,0,1,0
31-12-2025,2,0,1,0
01-01-2026,3,0,1,0
02-01-2026,4,0,0,0
03-01-2026,5,1,0,0
04-01-2026,6,1,0,0
05-01-2026,0,0,0,0
06-01-2026,1,0,0,0
07-01-2026,2,0,0,0
08-01-2026,3,0,0,0
09-01-2026,4,0,0,0
10-01-2026,5,1,0,0
11-01-2026,6,1,0,0
12-01-2026,0,0,0,0
13-01-2026,1,0,0,0
14-01-2026,2,0,0,0
15-01-2026,3,0,0,0
16-01-2026,4,0,0,0
17-01-2026,5,1,0,0
18-01-2026,6,1,0,0
19-01-2026,0,0,0,0
20-01-2026,1,0,0,0
21-01-2026,2,0,0,0
22-01-2026,3,0,0,0
23-01-2026,4,0,0,0
24-01-2026,5,1,0,0
25-01-2026,6,1,0,0
26-01-2026,0,0,0,0
27-01-2026,1,0,0,0
28-01-2026,2,0,0,0
29-01-2026,3,0,0,0
30-01-2026,4,0,0,0
